Module,Lesson,Duration,Level,Description
1 - Foundations,Your Kitchen & Tools,12 min,Beginner,Set up your station and learn the five tools every baker needs.
1 - Foundations,Measuring Like a Pro,15 min,Beginner,Why weight beats volume and how to read a recipe with confidence.
1 - Foundations,Understanding Your Oven,10 min,Beginner,Hot spots calibration and the bake-test that saves every batch.
2 - The Perfect Sponge,Classic Vanilla Sponge,22 min,Beginner,The creaming method step by step for a light even crumb.
2 - The Perfect Sponge,Troubleshooting Dense Cakes,18 min,Intermediate,Diagnose the four most common causes of a heavy bake.
2 - The Perfect Sponge,Chocolate Sponge Variation,20 min,Intermediate,Adapt the base recipe with cocoa without drying it out.
3 - Frosting & Fillings,Silky Swiss Meringue Buttercream,28 min,Intermediate,The pro frosting that holds in heat and pipes like a dream.
3 - Frosting & Fillings,Ganache Three Ways,19 min,Intermediate,Pourable whipped and firm — one recipe three textures.
3 - Frosting & Fillings,Fruit Curds & Compotes,16 min,Intermediate,Bright fillings that balance sweetness and add a wow layer.
4 - Decorating,Crumb Coat & Smooth Finish,24 min,Intermediate,Get bakery-smooth sides with a turntable and a bench scraper.
4 - Decorating,Piping Borders & Rosettes,21 min,Advanced,Master five piping tips and the hand motion behind each.
4 - Decorating,Drip Cakes & Modern Styling,26 min,Advanced,On-trend finishes that photograph beautifully for socials.
5 - Going Pro,Pricing Your Cakes,14 min,All Levels,A simple formula to charge what your time and skill are worth.
5 - Going Pro,Photographing Your Bakes,17 min,All Levels,Phone-only lighting and angles that make orders roll in.
5 - Going Pro,Taking Your First Orders,20 min,All Levels,From friends-and-family to a waitlist — scripts and checklists.
