标本ID,日期,星期,采集时间,采集时段,来源科室/采血点,患者类型,标本类型,检验专业组,检验项目数,签收时间,前处理开始,前处理完成,前处理状态,前处理报错类型,前处理耗时_分钟,上机时间,报告时间,TAT_分钟,目标TAT_分钟,是否超时,前处理工位,仪器编号,操作人
S0803-00001,2026-08-03,周一,09:26,07-10 早高峰,门诊采血中心,门诊,血清,生化,9,09:35,09:40,10:05,正常,,25,10:10,10:42,76,120,否,前处理-B线,BIO-01,OP-106
S0803-00002,2026-08-03,周一,17:49,17-20,急诊采血,急诊,尿液,生化,9,17:57,18:01,18:07,正常,,6,18:14,18:52,63,60,是,前处理-A线,COAG-01,OP-103
S0803-00003,2026-08-03,周一,07:42,07-10 早高峰,门诊采血中心,门诊,尿液,生化,10,08:05,08:06,08:29,正常,,23,08:34,09:14,92,120,否,前处理-手工台,IMM-02,OP-105
S0803-00004,2026-08-03,周一,09:27,07-10 早高峰,儿科门诊采血窗口,门诊,血清,免疫,4,09:45,09:48,10:07,正常,,19,10:11,10:49,82,120,否,前处理-B线,IMM-01,OP-104
S0803-00005,2026-08-03,周一,08:42,07-10 早高峰,呼吸科病区,住院,尿液,免疫,14,09:23,09:26,09:43,正常,,17,09:46,10:19,97,120,否,前处理-B线,MICRO-01,OP-102
S0803-00006,2026-08-03,周一,07:07,07-10 早高峰,急诊采血,急诊,血清,免疫,7,07:29,07:31,07:56,正常,,25,08:00,08:28,81,60,是,前处理-A线,BIO-02,OP-108
S0803-00007,2026-08-03,周一,08:07,07-10 早高峰,消化科病区,住院,血清,生化,5,08:51,08:57,09:14,正常,,17,09:21,09:52,105,120,否,前处理-B线,HEM-01,OP-105
S0803-00008,2026-08-03,周一,16:01,14-17,门诊采血中心,门诊,全血,微生物,4,16:18,16:20,16:29,正常,,9,16:37,18:38,157,120,是,前处理-B线,COAG-01,OP-106
S0803-00009,2026-08-03,周一,08:26,07-10 早高峰,消化科病区,住院,全血,血液,6,08:53,08:58,09:24,正常,,26,09:30,09:59,93,120,否,前处理-B线,MICRO-01,OP-102
S0803-00010,2026-08-03,周一,13:39,12-14,呼吸科病区,住院,血清,微生物,4,14:23,14:28,14:34,正常,,6,14:37,19:20,341,120,是,前处理-A线,BIO-02,OP-108
